Price_CLP,Price_UF,Price_USD,Comuna,Ubicacion,Dorms,Baths,Built Area,Total Area,Parking,id,Realtor
129884400,3600.0,158396.0,Lampa,AvenidaLaHacienda,3.0,2.0,68.0,221.0,1.0,7850612,Behouse
130000000,3603.0,158537.0,Buin,Villaseca,5.0,3.0,150.0,190.0,2.0,10081485,
172998805,4795.0,210974.0,PuenteAlto,BarrioAustria,4.0,3.0,90.0,182.0,3.0,10257247,Bissac
135296250,3750.0,164995.0,Buin,ComercianteArmandoPérezCarrasco,3.0,2.0,85.0,175.0,1.0,20153043,Ambiento Propiedades
195000000,5405.0,237805.0,QuintaNormal,Hostos,3.0,3.0,130.0,402.0,1.0,16669338,Puntoinmobiliario.cl
144316000,4000.0,175995.0,Peñaflor,PasajeReinaldoEscobar,3.0,3.0,84.0,180.0,3.0,19749660,Gesinprop Gestión Inmobiliaria
140000000,3880.0,170732.0,PuenteAlto,CalleCardenalFresno,3.0,3.0,92.0,172.0,4.0,7675587,Mauro Propiedades
150000000,4158.0,182927.0,QuintaNormal,PoblaciónIndus,5.0,2.0,130.0,300.0,1.0,16741170,Mauro Propiedades
164159450,4550.0,200194.0,Lampa,LaMontañaSur4149,3.0,3.0,120.0,189.0,1.0,20107942,Propiedades Cuzmar
145000000,4019.0,176829.0,SanJoaquín,Ríoñuble,2.0,1.0,70.0,140.0,,20088962,Royalrealty Spa
124000000,3437.0,151220.0,Maipú,HermanosCarrera,3.0,1.0,62.0,165.0,2.0,18678102,Grio Propiedades
110000000,3049.0,134146.0,Independencia,Pje.Lanceros988,2.0,1.0,92.0,82.0,1.0,17498609,Amgprop
110000000,3049.0,134146.0,PuenteAlto,LasHortensias,3.0,1.0,50.0,131.0,1.0,18394432,Gesinprop Gestión Inmobiliaria
400000000,11087.0,487805.0,SanMiguel,AvenidaSalesianos,7.0,3.0,220.0,270.0,2.0,20065940,
251831420,6980.0,307111.0,Pudahuel,DelCrepúsculo,3.0,3.0,140.0,298.0,2.0,17445269,Promoción Inmobiliaria
188000000,5211.0,229268.0,Santiago,RafaelSotomayor381,4.0,2.0,131.0,77.0,,9991479,Jlipropiedades
210000000,5821.0,256098.0,Maipú,Islachica,3.0,2.0,110.0,133.0,1.0,20029509,
142512050,3950.0,173795.0,SanBernardo,Pje.SanArcadio1680,4.0,2.0,120.0,209.0,4.0,20001332,Optima Propiedades
94100000,2608.0,114756.0,Maipú,Elsurazo,3.0,1.0,55.0,100.0,1.0,11630172,alejandra escanilla garrido
135000000,3742.0,164634.0,Maipú,Manchester,3.0,1.0,99.0,170.0,1.0,20000186,alejandra escanilla garrido
125000000,3465.0,152439.0,Maipú,LosChilenos,4.0,,47.0,120.0,,17820003,alejandra escanilla garrido
134000000,3714.0,163415.0,Maipú,PasajeVirgendeGuadalupe3,3.0,3.0,83.0,137.0,2.0,15504782,alejandra escanilla garrido
120000000,3326.0,146341.0,LaFlorida,Avenidacoronelytrinidad,4.0,2.0,101.0,140.0,2.0,19999356,
